nombre,precio,tienda
Hestia,50,JP Store
Hogar de Demonios,500,JP Store
Idmon el Adivino Foil,500,JP Store
Imentet,200,JP Store
Irgoll,800,JP Store
Julio Cesar,300,JP Store
Julio Cesar,300,JP Store
Julio Cesar,800,JP Store
Kiya,200,JP Store
La Serpiente Negra,500,JP Store
Lamento de Isis,800,JP Store
Las Bacantes,500,JP Store
Leucrota,800,JP Store
Lobos de Drácula,4000,JP Store
Luz de Prometeo Secreta,3500,JP Store
Macda Tho,500,JP Store
Mafedet,300,JP Store
Mandoble,500,JP Store
Mandoble de Seth,700,JP Store
Manzanas de la Vida,300,JP Store
Mar de Almas,300,JP Store
Marco Antonio,300,JP Store
Marco Antonio,300,JP Store
Math,200,JP Store
Maza de Guerra,50,JP Store
Micenas,500,JP Store
Misil Mágico,100,JP Store
Misterio de la Esfinge,300,JP Store
Misterio de la Esfinge,300,JP Store
Morning Star,100,JP Store
Neferite I,500,JP Store
Neferite I,800,JP Store
Noctumbros,500,JP Store
Nut,250,JP Store
Olimpicos,1000,JP Store
Orion,1000,JP Store
Orkney,400,JP Store
Osiris ha Muerto,500,JP Store
Papiros de Lahun,2000,JP Store
Perseo,1000,JP Store
Piedras Azules,500,JP Store
Prometeo,250,JP Store
Pryderi,500,JP Store
Ra,500,JP Store
Red de Aracne Foil,800,JP Store
Regan,500,JP Store
Resplandor de Heka,2500,JP Store
Revivir a Osiris,500,JP Store
Salmón del Saber,4000,JP Store
Selkis Foil,200,JP Store
Sethnajt,300,JP Store
Sir Persival,1500,JP Store
Slaine,1000,JP Store
Tamis,300,JP Store
Tanutamani,3000,JP Store
Temis Foil,500,JP Store
Templo de Gruagash,80,JP Store
Templo de la Cazadora,50,JP Store
Termofilas,300,JP Store
Tesoro de Mowa,3000,JP Store
Titanes,500,JP Store
Titania,800,JP Store
Toro Apis,6000,JP Store
Traición de Seth,500,JP Store
Tritón Foil,500,JP Store
Trono Dorado,2500,JP Store
Veneno Sagrado,80,JP Store
Wyrm Abismal,300,JP Store
Wyvern de Sangre Juez,12000,JP Store
Yvain del León,8000,JP Store
Abrir Portal,500,JP Store
Aed,300,JP Store
Aed Finn foil,500,JP Store
Aed Finn Foil,500,JP Store
Aedan Macgabrain,500,JP Store
Ahmosis el de Fuego,200,JP Store
Aibell,300,JP Store
Aife foil,200,JP Store
Alas de Horus,500,JP Store
Alas de Icaro,300,JP Store
Alas de Icaro,300,JP Store
Aliado Feerico,300,JP Store
Aliento de Luz,300,JP Store
Aneirin,300,JP Store
Anfitrite,300,JP Store
Antorcha Olimpica,3000,JP Store
Antorcha Olimpica,500,JP Store
Antropofagos,200,JP Store
Aquiles,1000,JP Store
Arianrhod,300,JP Store
Armadura de Bronce,300,JP Store
Artio,500,JP Store
Atacar la Barca,500,JP Store
Ataque de Goblins,200,JP Store
Atenas,300,JP Store
Atenea,500,JP Store
Atlante,50,JP Store
Aton,700,JP Store
Augurio Dorado,2000,JP Store
Aulladores Blancos,800,JP Store
Avalon,200,JP Store
Avalon,200,JP Store
Ave de Hera,500,JP Store
Ay,500,JP Store
Bas-Pef Foil,300,JP Store
Bendición Siniestra,300,JP Store
Beni Hassam,100,JP Store
Bladud,200,JP Store
Bola de Energia,300,JP Store
Bolgos,500,JP Store
Boobrie foil,200,JP Store
Bran,500,JP Store
Bran el Bendito,200,JP Store
Brigantia,500,JP Store
Brigit,200,JP Store
Brigit,500,JP Store
Bruja Anis,300,JP Store
Caballo Lunar,500,JP Store
Cae Nuada,200,JP Store
Calzada de Gigantes,300,JP Store
Caoranach,500,JP Store
Caravana de los Muertos,300,JP Store
Carcel Para el Mal,300,JP Store
Carga Brigante,300,JP Store
Carro Celta,200,JP Store
Cathach,500,JP Store
Cirene,200,JP Store
Claiohm Solais,300,JP Store
Clio,150,JP Store
Colosos Hititas,250,JP Store
Conall Cernach,1000,JP Store
Conla,500,JP Store
Conla,500,JP Store
Constantino foil,300,JP Store
Constantino foil,300,JP Store
Consumir las Aguas,500,JP Store
Corte de la Furia,500,JP Store
Corte Unseelie,300,JP Store
Crear Caballero Negro,300,JP Store
Crear Fungoides,200,JP Store
Cruzadas,500,JP Store
Cuchulain,500,JP Store
Cuna de Wurms,200,JP Store
Dario el Grande,500,JP Store
Deidades Egipcias,300,JP Store
Deidades Egipcias,300,JP Store
Dendera,300,JP Store
Dendera,1000,JP Store
Desleal,500,JP Store
Despertar Oscuro,300,JP Store
Destrozar la Mente,300,JP Store
Dianan y Bechulle,500,JP Store
Dianan y Bechulle,500,JP Store
Draco Conjurador,150,JP Store
Draco Conjurador,300,JP Store
Dragon de Luz,200,JP Store
Dragón Demonio,500,JP Store
Dragon Nube,300,JP Store
Draig Goch,500,JP Store
Duat,500,JP Store
Duat,250,JP Store
Duelo Injusto,500,JP Store
Duelo Maldito,500,JP Store
Duendes,200,JP Store
Dyrnwyn,300,JP Store
El Don de Clio,300,JP Store
El Gran Wyrm,200,JP Store
El Gran Wyrm,200,JP Store
El Gran Zeus,500,JP Store
El Gran Zeus,500,JP Store
El Oscuro Hades,200,JP Store
Envenenar la Tierra,300,JP Store
Eos,300,JP Store
Eos,250,JP Store
Erastostenes,500,JP Store
Erastostenes,500,JP Store
Eriu,300,JP Store
Eros,500,JP Store
Espada Bruja,300,JP Store
Espada de Caballero,500,JP Store
Espada Necrofaga,300,JP Store
Espada Necrofaga,300,JP Store
Europa,800,JP Store
Exilio,500,JP Store
Faeries,500,JP Store
Federico Barbarroja,100,JP Store
Fergus,500,JP Store
Forma de Toro,500,JP Store
Formación de Tortuga,400,JP Store
Fuath,200,JP Store
Fundación de Thebas,500,JP Store
Funeral de Galehaut,300,JP Store
Gitanos,200,JP Store
Grandes Faraones,500,JP Store
Greenknight foil,150,JP Store
Gruagash,200,JP Store
Gruagash,200,JP Store
Guerreros Egipcios foil,200,JP Store
Hacha de Batalla,300,JP Store
Helenica,500,JP Store
Helenica,500,JP Store
Helios,300,JP Store
Herrero,500,JP Store
Hidra del Caos,500,JP Store
Hoz de Cronos,1000,JP Store
Imperio,500,JP Store
Incinerar,50,JP Store
Invocar Luz,500,JP Store
Ira Ignea,500,JP Store
Jinetes de Fuego,1000,JP Store
Josofones,200,JP Store
Juglares,50,JP Store
Kampe,200,JP Store
Kenneth I,500,JP Store
Kenneth I,200,JP Store
Kobold foil,500,JP Store
Kurick el Picto,50,JP Store
La Cabeza del Mal,300,JP Store
La Iliada,500,JP Store
La Ira de Tifon,250,JP Store
La Ira de Tifon,300,JP Store
La Llama Fria,300,JP Store
La Serpiente Negra,500,JP Store
La Velue,300,JP Store
Letania,500,JP Store
Leucrota,200,JP Store
Leucrota,300,JP Store
Levantar a los Muertos,300,JP Store
Linaje Celta,200,JP Store
Linaje Celta,300,JP Store
Lochaber,200,JP Store
Lugh,500,JP Store
Luz de Poseidon,300,JP Store
Maat Eterno,500,JP Store
Macha,300,JP Store
Marco Antonio,200,JP Store
Mathgen el Mago,100,JP Store
Maza de Bronce,500,JP Store
Menw,500,JP Store
Mercaderes,500,JP Store
Merlin,500,JP Store
Mess Buachalla,500,JP Store
Micenas,300,JP Store
Midyir,300,JP Store
Midyir,300,JP Store
Midyir,300,JP Store
Momificación,150,JP Store
Mordred,500,JP Store
Moy Mell,300,JP Store
Moy Mell,300,JP Store
Nativitas,500,JP Store
Neferura,300,JP Store
Nehebaku,300,JP Store
Nimue,500,JP Store
Nimue,500,JP Store
Noctumbros,300,JP Store
Oceano,1200,JP Store
Oengus,300,JP Store
Oengus,200,JP Store
Ofrenda a los Dioses,500,JP Store
Ogham,500,JP Store
Ojo Asesino,400,JP Store
Ojo Udyat,500,JP Store
Olabisi,50,JP Store
Olimpicos,500,JP Store
Oro Extensión Tierras Altas,500,JP Store
Oro Hijos de Daana,500,JP Store
Osiris ha Muerto,500,JP Store
Pais sin Luz,300,JP Store
Pan foil,100,JP Store
Papiros de Lahun Top JO,7000,JP Store
Penelope,300,JP Store
Pepi I foil,200,JP Store
Perifetes,300,JP Store
Perses,100,JP Store
Piritoo,500,JP Store
Pixie,300,JP Store
Pixie,300,JP Store
Polemos,500,JP Store
Porfirion,300,JP Store
Procustes,300,JP Store
Producir Terremoto,300,JP Store
Prometeo,500,JP Store
Prometeo,200,JP Store
Pryderi,300,JP Store
Pryderi,300,JP Store
Ptah,500,JP Store
Ptah,500,JP Store
Qadesh,200,JP Store
Qer Her,150,JP Store
Qer Her,200,JP Store
Qer Her,150,JP Store
Reina Guinivere,200,JP Store
Reina Guinivere,300,JP Store
Reina Hipolita,500,JP Store
Reunión de Druidas,500,JP Store
Revivir a Osiris,500,JP Store
Rhiannon,300,JP Store
Riastrad,250,JP Store
Sajones,300,JP Store
Sajones Foil,500,JP Store
Sakraham,300,JP Store
Sebile,200,JP Store
Seshat,250,JP Store
Shu,300,JP Store
Sir Dagonet,500,JP Store
Sir Galahad,500,JP Store
Sir Palamades,300,JP Store
Sir Persival,500,JP Store
Sir Robin de Lockesley,200,JP Store
Slaine,500,JP Store
Slaine,500,JP Store
Suma,300,JP Store
Takelot,300,JP Store
Taliesin,300,JP Store
Taliesin,300,JP Store
Teleute,500,JP Store
Templo de Filae,300,JP Store
Templo del Desierto,100,JP Store
Thanatos,300,JP Store
Titania,300,JP Store
Toque de Persival,300,JP Store
Tormenta de Dragón,300,JP Store
Totem de la Serpiente foil,200,JP Store
Totem de Nwyre,500,JP Store
Tótem de Nwyre,500,JP Store
Totem de Nwyre,500,JP Store
Totem del Conjurador,50,JP Store
Traición de Seth,500,JP Store
Traición de Seth,500,JP Store
Tumulario foil,500,JP Store
Tutatis,300,JP Store
Tutatis,300,JP Store
Tuthu,300,JP Store
Ulster,300,JP Store
Urano,1500,JP Store
Urisk,100,JP Store
Vincegeratorix,300,JP Store
Vouivre,500,JP Store
Wyrm Abismal,1000,JP Store
Wyrm Abismal,300,JP Store
Yddraig Aur,500,JP Store
Yelmo de Legionario,500,JP Store
Alas de Icaro,800,JP Store
Dendera,500,JP Store
Alas de Icaro,300,JP Store
Almas de Estigia,300,JP Store
Ambrosia,500,JP Store
Apolo,300,JP Store
Arde Troya,300,JP Store
Aristoteles,300,JP Store
Castillo de Bran,200,JP Store
Castor,500,JP Store
Dionisio,300,JP Store
Edipo,300,JP Store
Epimeteo,300,JP Store
Eros,500,JP Store
Escila Foil,500,JP Store
Estaca y Martillo,200,JP Store
Fenix,1000,JP Store
Forma de Lobo,150,JP Store
Jabalina,300,JP Store
Jonathan Harker,150,JP Store
La Ira de Tifon,300,JP Store
Los Titanes,300,JP Store
Manipular Mente,300,JP Store
Manzana Sidhe,1500,JP Store
Martillo de Hefestos,300,JP Store
Mina Harker,300,JP Store
Minas de Gruash,1000,JP Store
Neferura,300,JP Store
Noctumbros,500,JP Store
Oceano,300,JP Store
Olimpicos,500,JP Store
Penelope,300,JP Store
Plaga,300,JP Store
Polux,500,JP Store
Sarcofago Santuario,500,JP Store
Slaine,300,JP Store
Termofilas,300,JP Store
Teseo,300,JP Store
Titanes,800,JP Store
Adios Belleza,500,JP Store
Aed Finn,100,JP Store
Aguila Imperial,100,JP Store
AHMOSIS EL DE FUEGO,80,JP Store
Aife,100,JP Store
ALAS DE HORUS,500,JP Store
Alas de Icaro,300,JP Store
Alejandro II,300,JP Store
Alejandro Magno,200,JP Store
AMON,300,JP Store
Amosis I,1000,JP Store
Angelos,100,JP Store
Anhur,200,JP Store
Anjesenamon,100,JP Store
Antorcha Olímpica,500,JP Store
Antropofagos,300,JP Store
Antropofagos,100,JP Store
Arcas del Imperio,100,JP Store
Arcas del Imperio,500,JP Store
Ashrays,30,JP Store
Astreo,300,JP Store
Atenas,300,JP Store
Atlante foil,500,JP Store
Atlantida,500,JP Store
Aullido de Furia,300,JP Store
Avalon,300,JP Store
Avalon,300,JP Store
Avalon,200,JP Store
Balduino,50,JP Store
Balor,500,JP Store
Bandidos Pictos Foil,200,JP Store
Bane,50,JP Store
BENGAY,300,JP Store
Bocan,50,JP Store
Bola de Energía,300,JP Store
Bran el Bendito,300,JP Store
Bridei,200,JP Store
Bruja Anis,50,JP Store
Caballero Hospitalario,50,JP Store
Caballeros,100,JP Store
Cadmus,80,JP Store
Caoranach,500,JP Store
Capa de Invisibilidad,1000,JP Store
Carro Celta,200,JP Store
Carro Celta,250,JP Store
Casa de Hestia,80,JP Store
Cesar Augusto,300,JP Store
Chike de la Sombra,20,JP Store
Claymore,300,JP Store
COBRA DE CRIPTA,300,JP Store
Codex Arturicus,500,JP Store
Coliseo,500,JP Store
Columna de Trajano,200,JP Store
Conla,500,JP Store
Constantino,100,JP Store
CORONA FARAÓNICA,30,JP Store
Cria de Wyrm,300,JP Store
Criatura Familiar,300,JP Store
Crio,50,JP Store
Cronos,500,JP Store
Cronos,500,JP Store
Cuatro Aceros,100,JP Store
Cuna de Dragones,300,JP Store
DARDOS DE MONTU,30,JP Store
Dario el Grande,500,JP Store
Defensores Celtas,100,JP Store
Delfos,150,JP Store
Despertar,300,JP Store
Despertar Oscuro,300,JP Store
Despertar Oscuro,200,JP Store
Dianan y Bechulle,500,JP Store
Diarmuid,100,JP Store
Donn,50,JP Store
Draco Conjurador,50,JP Store
Dragon de Aire,500,JP Store
Dragón de Luz,300,JP Store
Dragón de Magma,500,JP Store
Dragón de Plata,200,JP Store
Dragón Dorado,1000,JP Store
Dragón Nival,100,JP Store
Dragón Nube,400,JP Store
Dragones,500,JP Store
Duat,500,JP Store
Duphon,300,JP Store
Duque Enrico Dandolo,50,JP Store
Duque Godofredo,50,JP Store
El Gran Wyrm,300,JP Store
El Gran Zeús,500,JP Store
El Gran Zeus,500,JP Store
El Gran Zeus,500,JP Store
El Poeta,300,JP Store
Elatha,50,JP Store
Escila,100,JP Store
ESCRIBANO,30,JP Store
Escudo de Perseo,300,JP Store
Esna,50,JP Store
Espartaco,500,JP Store
Ethain,500,JP Store
Ettin,50,JP Store
Faeries,100,JP Store
Federico Barbarroja,200,JP Store
Fenix,100,JP Store
Fergus Mor Maceric,300,JP Store
Festin,50,JP Store
FESTIN IMPIO,300,JP Store
Flecha Acida,50,JP Store
Forma de Cuervo,200,JP Store
Fuente del Saber Foil,500,JP Store
Gaia,300,JP Store
Gitanos,200,JP Store
Gladius,300,JP Store
Golpear la Raíz,500,JP Store
Grandes Faraones,100,JP Store
Greenknight,50,JP Store
Gruagash,200,JP Store
Guardia Real,50,JP Store
GUERREROS EGIPCIOS,30,JP Store
Guiza,800,JP Store
Hacha de Batalla,100,JP Store
Heosforo,200,JP Store
Heroes,150,JP Store
Hipnos,80,JP Store
Horda Femore,100,JP Store
Horus,500,JP Store
Idmon el Adivino,50,JP Store
Imentet,300,JP Store
IMOTEPH,300,JP Store
ISIS,200,JP Store
Islas Filas,300,JP Store
Jardín Sagrado,50,JP Store
Jerusalen,300,JP Store
Julio Cesar,300,JP Store
Juramento Feerico,500,JP Store
Kabasha,200,JP Store
Kenneth I,300,JP Store
Kernuac el Cazador,300,JP Store
Khuwyt,100,JP Store
KIYA,200,JP Store
Kobold,30,JP Store
La Espada Rota,200,JP Store
La Iliada,500,JP Store
La Llama Fría,300,JP Store
La Serpiente Negra,500,JP Store
Lailoken,50,JP Store
Leucrota,300,JP Store
Levantar a los Muertos,300,JP Store
Levantar Castillo,100,JP Store
Levantar Castillo,100,JP Store
LIBRO DE LOS MUERTOS,30,JP Store
Linaje Celta,500,JP Store
Llama Marina,300,JP Store
"Llewelyn, voz de Plata",50,JP Store
Lohengrin,80,JP Store
Lugh,500,JP Store
Luxor,300,JP Store
Maahes,500,JP Store
Macda Tho,500,JP Store
Mafedet,500,JP Store
Maquinaria de Guerra,500,JP Store
Marco Antonio,500,JP Store
Marco Antonio,300,JP Store
Math,300,JP Store
Mathgen el Mago,100,JP Store
Mercaderes,500,JP Store
Merlin Atrapado,200,JP Store
Micenas,300,JP Store
MICERINOS,200,JP Store
MONTUHOPET II,50,JP Store
Morgana,500,JP Store
Neferite I,500,JP Store
Noctumbros,300,JP Store
NUT,300,JP Store
Oengus,300,JP Store
Ofrenda a los Dioses,500,JP Store
Ogham,500,JP Store
Olímpicos,150,JP Store
Orfeo,300,JP Store
"Org, el Hechicero",50,JP Store
Orion,500,JP Store
Oseye,1000,JP Store
OSIRIS HA MUERTO,500,JP Store
Panteón,100,JP Store
PENUMBRA,50,JP Store
PEPI I,20,JP Store
PIEDRA ROSETA,30,JP Store
Pinedyem I,300,JP Store
Pixie,100,JP Store
Plaga,200,JP Store
Prometeo,300,JP Store
Pryderi,300,JP Store
Ptah,500,JP Store
Ptolomeo III,100,JP Store
QADESH,200,JP Store
Qer-Her,200,JP Store
RA,1000,JP Store
Raza de Pigmeos,100,JP Store
Raza de Pigmeos,300,JP Store
Raza de Pigmeos foil,300,JP Store
Reina Guinivere,200,JP Store
Rey Arturo Pendragon,500,JP Store
Rey Pescador,200,JP Store
Rhiannon,300,JP Store
Rhongomiant,50,JP Store
Sajones,50,JP Store
SAKRAHAM,500,JP Store
SAQQARA,70,JP Store
Sedienta,200,JP Store
SEHETEPIBRE,30,JP Store
Sehetepibre foil,300,JP Store
Sekhmet,30,JP Store
SELKIS,20,JP Store
SESOTRIS,50,JP Store
SETI,500,JP Store
SINUHE EL VIAJERO,20,JP Store
Sir Balin,500,JP Store
Sir Gabriel,80,JP Store
Sir Galahad,500,JP Store
Sir Owen,50,JP Store
Sir Persival,500,JP Store
Sir Robin de Lockesley,200,JP Store
Sonriente,200,JP Store
TAKELOT,300,JP Store
TAMIS,100,JP Store
Tancredo,50,JP Store
Tartaro,200,JP Store
TEBAS,50,JP Store
Temis,100,JP Store
Temistocles,50,JP Store
Teseo,300,JP Store
Teti I,50,JP Store
Thanatos,300,JP Store
Titanes,50,JP Store
Titania,300,JP Store
Totem de Fenix,100,JP Store
Totem de Nwyre,100,JP Store
Totem del León,250,JP Store
Transmutación,300,JP Store
Tumba de Bran,100,JP Store
Tumulario,50,JP Store
TUTANKAMON,200,JP Store
Tutatis,200,JP Store
TUTHU,300,JP Store
Valle de los Reyes,100,JP Store
VENGATIVA,50,JP Store
VISIR,20,JP Store
VUELTA A LO PRIMORDIAL,300,JP Store
Was,100,JP Store
Wyrm Abismal,300,JP Store
Zorro de Fuego,100,JP Store
