nombre,precio,tienda
Adiós Belleza,500,JP Store
Aliento de Anubis,500,JP Store
Am-Heh,500,JP Store
Amergin el Druida,3500,JP Store
Anhur,200,JP Store
Apophis,500,JP Store
Árbol de Sangre,2500,JP Store
Ares Top JO,3500,JP Store
Armas Legadas,500,JP Store
Artemis,300,JP Store
Astreo,300,JP Store
Ataque Fulminante,80,JP Store
Atenea,500,JP Store
Atenea,500,JP Store
Atlante Foil,300,JP Store
Atlantida,300,JP Store
Balor,500,JP Store
Baron de Gortz,3500,JP Store
Biblioteca Eterna,1000,JP Store
Caballero Templario,250,JP Store
Caballeros,1000,JP Store
Capitán Imperial,50,JP Store
Carmix,500,JP Store
Casco de Hades,500,JP Store
Cathbadh el Druida,1000,JP Store
Caturix,3000,JP Store
César Augusto,200,JP Store
Coliseo,300,JP Store
Corff,8000,JP Store
Cuchulain,500,JP Store
Cultistas del Dragón,50,JP Store
Diadema Feerica,3500,JP Store
Dionisio,300,JP Store
Dragón de Magma,500,JP Store
Draig Ifanc,800,JP Store
Druida Tlachtga,1500,JP Store
Egeo,500,JP Store
El Oscuro Hades,300,JP Store
Elfo Oscuro,50,JP Store
Epimeteo,500,JP Store
Epimeteo Foil,200,JP Store
Epona,500,JP Store
Escila Foil,500,JP Store
Escudo del Lago,500,JP Store
Esna,800,JP Store
Espartaco,500,JP Store
Espartaco,500,JP Store
Fatae,1500,JP Store
Favor de la Corte,100,JP Store
Fénix Legendario,8000,JP Store
Fergus Mor Maceric,300,JP Store
Fiesta Adonia,500,JP Store
Fiesta de Opet,500,JP Store
Focea,4000,JP Store
Forma de Toro,500,JP Store
Forma Estelar,1000,JP Store
Ganimedes,1500,JP Store
Gente del Musgo,400,JP Store
Glas Gaibhenenn,1500,JP Store
Glas Gaibhenenn Ultra Secreta,3500,JP Store
Goblin Maligno,1500,JP Store
Gruagash,200,JP Store
Helenica,500,JP Store
Helenica,500,JP Store
Héroes,500,JP Store
Herrero,500,JP Store
Herrero Legendario,4000,JP Store
