nombre,precio,tienda,nombre_original
LEONIDAS (SHOGUN DOS),2490,Pandora Store,LEONIDAS (SHOGUN DOS) - SINGLES MITOS Y LEYENDAS
ASH (CLESP) COLECCIÓN LEGENDARIA SECRETA,2490,Pandora Store,ASH (CLESP) COLECCIÓN LEGENDARIA SECRETA
MIDYIR ANIVERSARIO,2390,Pandora Store,MIDYIR ANIVERSARIO - SINGLES MITOS Y LEYENDAS
SIR PERSIVAL (LOOTBOX 2023 - 20 AÑOS),2000,Pandora Store,SIR PERSIVAL (LOOTBOX 2023 - 20 AÑOS) - SINGLES MITOS Y LEYENDAS
MORIR DE PIE (LEYENDAS PB 3.0 - MR),2000,Pandora Store,MORIR DE PIE (LEYENDAS PB 3.0 - MR) - SINGLES MITOS Y LEYENDAS
ARTIO,2000,Pandora Store,ARTIO - SINGLES MITOS Y LEYENDAS
FE SIN LIMITE,2000,Pandora Store,FE SIN LIMITE - SINGLES MITOS Y LEYENDAS
HUGUES DE PAYENS,2000,Pandora Store,HUGUES DE PAYENS - SINGLES MITOS Y LEYENDAS
YVAIN DEL LEON KIT 3.0,2000,Pandora Store,YVAIN DEL LEON KIT 3.0 - SINGLES MITOS Y LEYENDAS
PORFIRION,2000,Pandora Store,PORFIRION - SINGLES MITOS Y LEYENDAS
MARTILLO PESADO (LEYENDAS PB 3.0 - REALES),2000,Pandora Store,MARTILLO PESADO (LEYENDAS PB 3.0 - REALES) - SINGLES MITOS Y LEYENDAS
NECROPOLIS POPULAR COLECCIONISTA,2000,Pandora Store,NECROPOLIS POPULAR COLECCIONISTA - SINGLES MITOS Y LEYENDAS
YVAIN DEL LEON,2000,Pandora Store,YVAIN DEL LEON - SINGLES MITOS Y LEYENDAS
ESTACA Y MARTILLO,2000,Pandora Store,ESTACA Y MARTILLO - SINGLES MITOS Y LEYENDAS
CAMBIAR DE FORMA,2000,Pandora Store,CAMBIAR DE FORMA - SINGLES MITOS Y LEYENDAS
PALADIN CELESTE (KIT INFERNO),2000,Pandora Store,PALADIN CELESTE (KIT INFERNO) - SINGLES MITOS Y LEYENDAS
ENVENENAR LA TIERRA,2000,Pandora Store,ENVENENAR LA TIERRA - SINGLES MITOS Y LEYENDAS
PAPIROS DE LAHUN (TKPB25 - JUICIO Y VISIÓN),2000,Pandora Store,PAPIROS DE LAHUN (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
MINAS DE GRUASH (HD ANIVERSARIO - MR),2000,Pandora Store,MINAS DE GRUASH (HD ANIVERSARIO - MR) - SINGLES MITOS Y LEYENDAS
AVALON (LOOTBOX 2023 - 20 AÑOS),2000,Pandora Store,AVALON (LOOTBOX 2023 - 20 AÑOS) - SINGLES MITOS Y LEYENDAS
FERGUS (CRPB2 - DEFENSOR),2000,Pandora Store,FERGUS (CRPB2 - DEFENSOR) - SINGLES MITOS Y LEYENDAS
HELIOS (LBPB24 - ARTE ALTERNATIVO),2000,Pandora Store,HELIOS (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
ANTHEIA (LBPB24),2000,Pandora Store,ANTHEIA (LBPB24) - SINGLES MITOS Y LEYENDAS
ADONIS (LBPB24),2000,Pandora Store,ADONIS (LBPB24) - SINGLES MITOS Y LEYENDAS
FIESTA ADONIA (LBPB24),2000,Pandora Store,FIESTA ADONIA (LBPB24) - SINGLES MITOS Y LEYENDAS
FLECHA ÁCIDA (LBPB24 - FOIL LLUVIA),2000,Pandora Store,FLECHA ÁCIDA (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
HAQUIKA (SHOGUN UNO),2000,Pandora Store,HAQUIKA (SHOGUN UNO) - SINGLES MITOS Y LEYENDAS
ESPARTACO (SHOGUN DOS),2000,Pandora Store,ESPARTACO (SHOGUN DOS) - SINGLES MITOS Y LEYENDAS
DRUIDA DE MAN (HD ANIVERSARIO - CORTESANA - REWORK),2000,Pandora Store,DRUIDA DE MAN (HD ANIVERSARIO - CORTESANA - REWORK)
AUGURIO (LOOTBOX 2023 - DORADA),2000,Pandora Store,AUGURIO (LOOTBOX 2023 - DORADA)
BRIGIT (HD ANIVERSARIO - MR),2000,Pandora Store,BRIGIT (HD ANIVERSARIO - MR)
MACDA THO (HD ANIVERSARIO - MR),2000,Pandora Store,MACDA THO (HD ANIVERSARIO - MR)
LANZA DE RAMSES (TKPB25 - JUICIO Y VISIÓN),2000,Pandora Store,LANZA DE RAMSES (TKPB25 - JUICIO Y VISIÓN)
MOY-MELL (HD ANIVERSARIO - MR),2000,Pandora Store,MOY-MELL (HD ANIVERSARIO - MR)
OJO ASESINO (HD ANIVERSARIO - MR - REWORK),2000,Pandora Store,OJO ASESINO (HD ANIVERSARIO - MR - REWORK)
DRAGON DORADO (TKPB23 - DRAGON DORADO),2000,Pandora Store,DRAGON DORADO (TKPB23 - DRAGON DORADO)
MELINOE (KIT INFERNO),2000,Pandora Store,MELINOE (KIT INFERNO) - SINGLES MITOS Y LEYENDAS
DRAIG IFANC (LEYENDAS PB 3.0 - REALES),1990,Pandora Store,DRAIG IFANC (LEYENDAS PB 3.0 - REALES) - SINGLES MITOS Y LEYENDAS
MANZANA SIDHE,1990,Pandora Store,MANZANA SIDHE - SINGLES MITOS Y LEYENDAS
PRINCIPE DJEDI,1990,Pandora Store,PRINCIPE DJEDI - SINGLES MITOS Y LEYENDAS
AVE ARDEA,1990,Pandora Store,AVE ARDEA - SINGLES MITOS Y LEYENDAS
MEDUSA KIT 3.0,1990,Pandora Store,MEDUSA KIT 3.0 - SINGLES MITOS Y LEYENDAS
PERSEO,1990,Pandora Store,PERSEO - SINGLES MITOS Y LEYENDAS
IDMON EL ADIVINO BUY A BOX,1990,Pandora Store,IDMON EL ADIVINO BUY A BOX - SINGLES MITOS Y LEYENDAS
DUPHON FULL ART,1990,Pandora Store,DUPHON FULL ART - SINGLES MITOS Y LEYENDAS
GREENKNIGHT FULL ART,1990,Pandora Store,GREENKNIGHT FULL ART - SINGLES MITOS Y LEYENDAS
ASTREO BUY A BOX,1990,Pandora Store,ASTREO BUY A BOX - SINGLES MITOS Y LEYENDAS
FORMA DE TORO,1990,Pandora Store,FORMA DE TORO - SINGLES MITOS Y LEYENDAS
DESLEAL ALTERNATIVO,1990,Pandora Store,DESLEAL ALTERNATIVO - SINGLES MITOS Y LEYENDAS
BANE EDICION COLECCIONISTA,1990,Pandora Store,BANE EDICION COLECCIONISTA - SINGLES MITOS Y LEYENDAS
ALAS DE ICARO EDICION LIMITADA,1990,Pandora Store,ALAS DE ICARO EDICION LIMITADA  - SINGLES MITOS Y LEYENDAS
CAPA DE INVISIBILIDAD LOOTBOX,1990,Pandora Store,CAPA DE INVISIBILIDAD LOOTBOX - SINGLES MITOS Y LEYENDAS
CRUZ TEMPLARIA CARTA PROMO,1990,Pandora Store,CRUZ TEMPLARIA CARTA PROMO - SINGLES MITOS Y LEYENDAS
APOLO REWORK,1990,Pandora Store,APOLO REWORK - SINGLES MITOS Y LEYENDAS
JURAMENTO FEERICO BLACK,1990,Pandora Store,JURAMENTO FEERICO BLACK- SINGLES MITOS Y LEYENDAS
ACEITE DE OLIVA FOIL,1990,Pandora Store,ACEITE DE OLIVA FOIL - SINGLES MITOS Y LEYENDAS
ZAZAMOUKH,1990,Pandora Store,ZAZAMOUKH - SINGLES MITOS Y LEYENDAS
CARRO REAL,1990,Pandora Store,CARRO REAL - SINGLES MITOS Y LEYENDAS
BOCAN ANIVERSARIO,1990,Pandora Store,BOCAN ANIVERSARIO - SINGLES MITOS Y LEYENDAS
ABRIR PORTAL ANIVERSARIO,1990,Pandora Store,ABRIR PORTAL ANIVERSARIO - SINGLES MITOS Y LEYENDAS
TOTEM DE LA SERPIENTE ANIVERSARIO,1990,Pandora Store,TOTEM DE LA SERPIENTE ANIVERSARIO - SINGLES MITOS Y LEYENDAS
DIANAN Y BECHULLE ANIVERSARIO,1990,Pandora Store,DIANAN Y BECHULLE ANIVERSARIO - SINGLES MITOS Y LEYENDAS
KENNETH I ANIVERSARIO,1990,Pandora Store,KENNETH I ANIVERSARIO - SINGLES MITOS Y LEYENDAS
PARASITOS INFERNO,1990,Pandora Store,PARASITOS INFERNO - SINGLES MITOS Y LEYENDAS
CRUZAR LA PUERTA INFERNO,1990,Pandora Store,CRUZAR LA PUERTA INFERNO - SINGLES MITOS Y LEYENDAS
DANTE INFERNO,1990,Pandora Store,DANTE INFERNO - SINGLES MITOS Y LEYENDAS
LEVIATAN INFERNO,1990,Pandora Store,LEVIATAN INFERNO - SINGLES MITOS Y LEYENDAS
MELINOE INFERNO,1990,Pandora Store,MELINOE INFERNO - SINGLES MITOS Y LEYENDAS
FENIX INFERNO,1990,Pandora Store,FENIX INFERNO - SINGLES MITOS Y LEYENDAS
DRAGON ROJO INFERNO,1990,Pandora Store,DRAGON ROJO INFERNO - SINGLES MITOS Y LEYENDAS
EJERCITO DE LA NOCHE,1990,Pandora Store,EJERCITO DE LA NOCHE - SINGLES MITOS Y LEYENDAS
BRUTO,1990,Pandora Store,BRUTO - SINGLES MITOS Y LEYENDAS
ESCORPIO,1990,Pandora Store,ESCORPIO - SINGLES MITOS Y LEYENDAS
QADESH LLUVIA,1990,Pandora Store,QADESH LLUVIA - SINGLES MITOS Y LEYENDAS
MEDUSA LLUVIA,1990,Pandora Store,MEDUSA LLUVIA - SINGLES MITOS Y LEYENDAS
PRYDERI LLUVIA,1990,Pandora Store,PRYDERI LLUVIA - SINGLES MITOS Y LEYENDAS
MESA REDONDA,1990,Pandora Store,MESA REDONDA - SINGLES MITOS Y LEYENDAS
DEIDADES EGIPCIAS BLACK,1990,Pandora Store,DEIDADES EGIPCIAS BLACK - SINGLES MITOS Y LEYENDAS
LINAJE CELTA BLACK,1990,Pandora Store,LINAJE CELTA BLACK - SINGLES MITOS Y LEYENDAS
RITO DE ATON,1990,Pandora Store,RITO DE ATON  - SINGLES MITOS Y LEYENDAS
CARRUAJE NEGRO (LBPB24),1990,Pandora Store,CARRUAJE NEGRO (LBPB24) - SINGLES MITOS Y LEYENDAS
OSEYE (LBPB24 - FOIL LLUVIA),1990,Pandora Store,OSEYE (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
RED DE PLATA (TK1),1990,Pandora Store,RED DE PLATA (TK1) - SINGLES MITOS Y LEYENDAS
FIGOL EL DRUIDA (HD ANIVERSARIO - REAL),1990,Pandora Store,FIGOL EL DRUIDA (HD ANIVERSARIO - REAL) - SINGLES MITOS Y LEYENDAS
ASHRAYS (CRPB2 - DESAFIANTE),1990,Pandora Store,ASHRAYS (CRPB2 - DESAFIANTE) - SINGLES MITOS Y LEYENDAS
BALOR (HD ANIVERSARIO - MR),1990,Pandora Store,BALOR (HD ANIVERSARIO - MR) - SINGLES MITOS Y LEYENDAS
SALADINO (LBPB24 - ARTE ALTERNATIVO),1990,Pandora Store,SALADINO (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
COCHERO DE DRÁCULA (LBPB24),1990,Pandora Store,COCHERO DE DRÁCULA (LBPB24) - SINGLES MITOS Y LEYENDAS
EOLO (HELÉNICA ANIV - MR),1990,Pandora Store,EOLO (HELÉNICA ANIV - MR) - SINGLES MITOS Y LEYENDAS
CRUZ TEMPLARIA (LEYENDAS PB 3.0 - MR),1990,Pandora Store,CRUZ TEMPLARIA (LEYENDAS PB 3.0 - MR)
CRUZ TEMPLARIA (CLÁSICO CRU - REAL),1990,Pandora Store,CRUZ TEMPLARIA (CLÁSICO CRU - REAL)
MARTILLO DE HEFESTOS,1500,Pandora Store,MARTILLO DE HEFESTOS - SINGLES MITOS Y LEYENDAS
OLABISI BLACK,1500,Pandora Store,OLABISI BLACK - SINGLES MITOS Y LEYENDAS
REGAN,1500,Pandora Store,REGAN - SINGLES MITOS Y LEYENDAS
OFRENDA A LOS DIOSES,1500,Pandora Store,OFRENDA A LOS DIOSES - SINGLES MITOS Y LEYENDAS
CATHACH KIT 3.0,1500,Pandora Store,CATHACH KIT 3.0 - SINGLES MITOS Y LEYENDAS
DRAIG IFANC (KIT RACIAL 2024 - FOIL),1500,Pandora Store,DRAIG IFANC (KIT RACIAL 2024 - FOIL) - SINGLES MITOS Y LEYENDAS
DRAGON NIVAL (LBPB24 - ARTE ALTERNATIVO),1500,Pandora Store,DRAGON NIVAL (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
APOPHIS ZOMBIE,1500,Pandora Store,APOPHIS ZOMBIE - SINGLES MITOS Y LEYENDAS
MESS BUACHALLA,1500,Pandora Store,MESS BUACHALLA - SINGLES MITOS Y LEYENDAS
LA SERPIENTE NEGRA SHOGUN,1500,Pandora Store,LA SERPIENTE NEGRA SHOGUN - SINGLES MITOS Y LEYENDAS
FORMA DE CUERVO,1500,Pandora Store,FORMA DE CUERVO - SINGLES MITOS Y LEYENDAS
AMON,1500,Pandora Store,AMON - SINGLES MITOS Y LEYENDAS
OCEANO REWORK,1500,Pandora Store,OCEANO REWORK - SINGLES MITOS Y LEYENDAS
SAMAEL INFERNO,1500,Pandora Store,SAMAEL INFERNO - SINGLES MITOS Y LEYENDAS
CATHBADH EL DRUIDA,1500,Pandora Store,CATHBADH EL DRUIDA - SINGLES MITOS Y LEYENDAS
LAS TRES PLAGAS (TKPB25 - JUICIO Y VISIÓN),1500,Pandora Store,LAS TRES PLAGAS (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
MOGONS (HD ANIVERSARIO - REAL),1500,Pandora Store,MOGONS (HD ANIVERSARIO - REAL) - SINGLES MITOS Y LEYENDAS
REA (LPB24),1500,Pandora Store,REA (LPB24) - SINGLES MITOS Y LEYENDAS
CANTOBELE (HELÉNICA ANIV - REWORK),1500,Pandora Store,CANTOBELE (HELÉNICA ANIV - REWORK) - SINGLES MITOS Y LEYENDAS
ERASTOSTENES (LBPB24 - ARTE ALTERNATIVO),1500,Pandora Store,ERASTOSTENES (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
AVALON BLACK,1500,Pandora Store,AVALON BLACK - SINGLES MITOS Y LEYENDAS
RED DE PLATA (HD ANIVERSARIO - VC FOIL),1500,Pandora Store,RED DE PLATA (HD ANIVERSARIO - VC FOIL)
DERRIBAR MONTAÑAS (HD ANIVERSARIO - REAL - REWORK),1500,Pandora Store,DERRIBAR MONTAÑAS (HD ANIVERSARIO - REAL - REWORK)
MA ARRAT AN-NUMAN (CLÁSICO CRU - REAL),1500,Pandora Store,MA ARRAT AN-NUMAN (CLÁSICO CRU - REAL)
AMOR DE ZEUS (PBX - HELÉNICA),1500,Pandora Store,AMOR DE ZEUS (PBX - HELÉNICA)
AUGURIO (PBX - HELÉNICA),1500,Pandora Store,AUGURIO (PBX - HELÉNICA)
LEONIDAS (KIT RACIAL 2024 - FOIL),1500,Pandora Store,LEONIDAS (KIT RACIAL 2024 - FOIL)
IRGOLL,1490,Pandora Store,IRGOLL - SINGLES MITOS Y LEYENDAS
OJO ASESINO,1490,Pandora Store,OJO ASESINO - SINGLES MITOS Y LEYENDAS
PIANJY,1490,Pandora Store,PIANJY - SINGLES MITOS Y LEYENDAS
DRAIG GOCH,1490,Pandora Store,DRAIG GOCH - SINGLES MITOS Y LEYENDAS
CORTE DE LA FURIA,1490,Pandora Store,CORTE DE LA FURIA - SINGLES MITOS Y LEYENDAS
AVE DE HERA,1490,Pandora Store,AVE DE HERA - SINGLES MITOS Y LEYENDAS
ADIOS BELLEZA,1490,Pandora Store,ADIOS BELLEZA - SINGLES MITOS Y LEYENDAS
MONTARAZ,1490,Pandora Store,MONTARAZ - SINGLES MITOS Y LEYENDAS
CAORANACH,1490,Pandora Store,CAORANACH - SINGLES MITOS Y LEYENDAS
OJO UDYAT,1490,Pandora Store,OJO UDYAT - SINGLES MITOS Y LEYENDAS
LA TRAICION DE MACALPIN,1490,Pandora Store,LA TRAICION DE MACALPIN - SINGLES MITOS Y LEYENDAS
COLOSOS HITITAS,1490,Pandora Store,COLOSOS HITITAS - SINGLES MITOS Y LEYENDAS
CARCEL PARA EL MAL,1490,Pandora Store,CARCEL PARA EL MAL - SINGLES MITOS Y LEYENDAS
QADESH,1490,Pandora Store,QADESH - SINGLES MITOS Y LEYENDAS
ATON,1490,Pandora Store,ATON - SINGLES MITOS Y LEYENDAS
PINEDYEM I,1490,Pandora Store,PINEDYEM I - SINGLES MITOS Y LEYENDAS
MARCO ANTONIO ZOMBIE,1490,Pandora Store,MARCO ANTONIO ZOMBIE - SINGLES MITOS Y LEYENDAS
ERIU,1490,Pandora Store,ERIU - SINGLES MITOS Y LEYENDAS
LOCURA DE AMOR,1490,Pandora Store,LOCURA DE AMOR - SINGLES MITOS Y LEYENDAS
ARTEMIS,1490,Pandora Store,ARTEMIS - SINGLES MITOS Y LEYENDAS
PARIS REWORK,1490,Pandora Store,PARIS REWORK - SINGLES MITOS Y LEYENDAS
MARATON,1490,Pandora Store,MARATON - SINGLES MITOS Y LEYENDAS
HOZ DE CRONOS REWORK,1490,Pandora Store,HOZ DE CRONOS REWORK - SINGLES MITOS Y LEYENDAS
JINETES DE FUEGO,1490,Pandora Store,JINETES DE FUEGO - SINGLES MITOS Y LEYENDAS
HOGAR DE DEMONIOS,1490,Pandora Store,HOGAR DE DEMONIOS - SINGLES MITOS Y LEYENDAS
ANHUR BLACK,1490,Pandora Store,ANHUR BLACK - SINGLES MITOS Y LEYENDAS
NUT,1490,Pandora Store,NUT - SINGLES MITOS Y LEYENDAS
FESTIN IMPIO PRIMERA EDICION,1490,Pandora Store,FESTIN IMPIO PRIMERA EDICION - SINGLES MITOS Y LEYENDAS
NATIVITAS,1490,Pandora Store,NATIVITAS - SINGLES MITOS Y LEYENDAS
ALIENTO DE ANUBIS,1490,Pandora Store,ALIENTO DE ANUBIS - SINGLES MITOS Y LEYENDAS
CRUZADA DE LOS NIÑOS ANIVERSARIO,1490,Pandora Store,CRUZADA DE LOS NIÑOS ANIVERSARIO - SINGLES MITOS Y LEYENDAS
FLECHA ACIDA,1490,Pandora Store,FLECHA ACIDA - SINGLES MITOS Y LEYENDAS
EPIMETEO SHOGUN,1490,Pandora Store,EPIMETEO SHOGUN - SINGLES MITOS Y LEYENDAS
LAEGERIE ANIVERSARIO,1490,Pandora Store,LAEGERIE ANIVERSARIO - SINGLES MITOS Y LEYENDAS
UNICORNIO SIDHE ANIVERSARIO,1490,Pandora Store,UNICORNIO SIDHE ANIVERSARIO - SINGLES MITOS Y LEYENDAS
ALESIA ANIVERSARIO,1490,Pandora Store,ALESIA ANIVERSARIO - SINGLES MITOS Y LEYENDAS
ULSTER ANIVERSARIO,1490,Pandora Store,ULSTER ANIVERSARIO - SINGLES MITOS Y LEYENDAS
PERSEO SHOGUN,1490,Pandora Store,PERSEO SHOGUN - SINGLES MITOS Y LEYENDAS
MEDUSA SHOGUN,1490,Pandora Store,MEDUSA SHOGUN - SINGLES MITOS Y LEYENDAS
MINAS DE GRUASH SHOGUN,1490,Pandora Store,MINAS DE GRUASH SHOGUN - SINGLES MITOS Y LEYENDAS
BELCEBU INFERNO,1490,Pandora Store,BELCEBU INFERNO - SINGLES MITOS Y LEYENDAS
ERIU ANIVERSARIO,1490,Pandora Store,ERIU ANIVERSARIO - SINGLES MITOS Y LEYENDAS
AMBROSIA (HELÉNICA ANIV - REAL - REWORK),1490,Pandora Store,AMBROSIA (HELÉNICA ANIV - REAL - REWORK) - SINGLES MITOS Y LEYENDAS
ATON (LBPB24 - ARTE ALTERNATIVO),1490,Pandora Store,ATON (LBPB24 - ARTE ALTERNATIVO)- SINGLES MITOS Y LEYENDAS
PROMETEO (SHOGUN DOS),1490,Pandora Store,PROMETEO (SHOGUN DOS) - SINGLES MITOS Y LEYENDAS
BIBLIOTECA ETERNA NUEVO ARTE,1400,Pandora Store,BIBLIOTECA ETERNA NUEVO ARTE - SINGLES MITOS Y LEYENDAS
OSEYE,1190,Pandora Store,OSEYE - SINGLES MITOS Y LEYENDAS
NIKE REWORK,1190,Pandora Store,NIKE REWORK - SINGLES MITOS Y LEYENDAS
ATLANTE SHOGUN,1190,Pandora Store,ATLANTE SHOGUN - SINGLES MITOS Y LEYENDAS
HIDRA DEL CAOS,1000,Pandora Store,HIDRA DEL CAOS - SINGLES MITOS Y LEYENDAS
CATHACH,1000,Pandora Store,CATHACH - SINGLES MITOS Y LEYENDAS
AULLADORES BLANCOS,1000,Pandora Store,AULLADORES BLANCOS - SINGLES MITOS Y LEYENDAS
VENGANZA,1000,Pandora Store,VENGANZA - SINGLES MITOS Y LEYENDAS
EOS,1000,Pandora Store,EOS - SINGLES MITOS Y LEYENDAS
APLASTAR FOMOR (LEYENDAS PB 3.0 - MR),1000,Pandora Store,APLASTAR FOMOR (LEYENDAS PB 3.0 - MR)
REVIVIR A OSIRIS,1000,Pandora Store,REVIVIR A OSIRIS - SINGLES MITOS Y LEYENDAS
PLAGA,1000,Pandora Store,PLAGA - SINGLES MITOS Y LEYENDAS
MICERINOS,1000,Pandora Store,MICERINOS - SINGLES MITOS Y LEYENDAS
ERASTOSTENES,1000,Pandora Store,ERASTOSTENES - SINGLES MITOS Y LEYENDAS
ALAS DE HORUS,1000,Pandora Store,ALAS DE HORUS - SINGLES MITOS Y LEYENDAS
DRAGÓN DE MAGMA (CLÁSICO ESPS - REAL),1000,Pandora Store,DRAGÓN DE MAGMA (CLÁSICO ESPS - REAL)
FAVOR DE LA CORTE (ANIVERSARIO ES),1000,Pandora Store,FAVOR DE LA CORTE (ANIVERSARIO ES) - SINGLES MITOS Y LEYENDAS
FUNERAL DE GALEHAUT,1000,Pandora Store,FUNERAL DE GALEHAUT- SINGLES MITOS Y LEYENDAS
FERGUS (CRPB3 - DEFENSOR),1000,Pandora Store,FERGUS (CRPB3 - DEFENSOR)
THANATOS,1000,Pandora Store,THANATOS - SINGLES MITOS Y LEYENDAS
SEDIENTA,1000,Pandora Store,SEDIENTA - SINGLES MITOS Y LEYENDAS
FIESTA DE BELTAINE,1000,Pandora Store,FIESTA DE BELTAINE - SINGLES MITOS Y LEYENDAS
TÓTEM DE NWYRE (ANIVERSAIO ES),1000,Pandora Store,TÓTEM DE NWYRE (ANIVERSAIO ES) - SINGLES MITOS Y LEYENDAS
AFRODITA KIT 3.0,1000,Pandora Store,AFRODITA KIT 3.0 - SINGLES MITOS Y LEYENDAS
AIFE,1000,Pandora Store,AIFE - SINGLES MITOS Y LEYENDAS
BRIGANTIA,1000,Pandora Store,BRIGANTIA - SINGLES MITOS Y LEYENDAS
BRAN EL BENDITO,1000,Pandora Store,BRAN EL BENDITO - SINGLES MITOS Y LEYENDAS
CAMPOS ELISIOS,1000,Pandora Store,CAMPOS ELISIOS - SINGLES MITOS Y LEYENDAS
AQUILES (PBX - HELÉNICA),1000,Pandora Store,AQUILES (PBX - HELÉNICA) - SINGLES MITOS Y LEYENDAS
EGEO,1000,Pandora Store,EGEO - SINGLES MITOS Y LEYENDAS
LOS TITANES REWORK,1000,Pandora Store,LOS TITANES REWORK - SINGLES MITOS Y LEYENDAS
TRIBUTO SANGRIENTO,1000,Pandora Store,TRIBUTO SANGRIENTO - SINGLES MITOS Y LEYENDAS
CERDA DE CROMION,1000,Pandora Store,CERDA DE CROMION - SINGLES MITOS Y LEYENDAS
VELLOCINO DE ORO,1000,Pandora Store,VELLOCINO DE ORO - SINGLES MITOS Y LEYENDAS
SIR OWEN,1000,Pandora Store,SIR OWEN - SINGLES MITOS Y LEYENDAS
LA SERPIENTE NEGRA (LEYENDAS PB 3.0 - MR),1000,Pandora Store,LA SERPIENTE NEGRA (LEYENDAS PB 3.0 - MR) - SINGLES MITOS Y LEYENDAS
CABALLO DE TROYA,1000,Pandora Store,CABALLO DE TROYA - SINGLES MITOS Y LEYENDAS
LA SERPIENTE NEGRA ANIVERSARIO,1000,Pandora Store,LA SERPIENTE NEGRA ANIVERSARIO - SINGLES MITOS Y LEYENDAS
DRUIDA OSCURO (HD ANIVERSARIO - EDICIÓN ANIVERSARIO),1000,Pandora Store,DRUIDA OSCURO (HD ANIVERSARIO - EDICIÓN ANIVERSARIO) - SINGLES MITOS Y LEYENDAS
DEFENSA CELESTIAL INFERNO,1000,Pandora Store,DEFENSA CELESTIAL INFERNO - SINGLES MITOS Y LEYENDAS
HIJOS DE LIR REWORK,1000,Pandora Store,HIJOS DE LIR REWORK - SINGLES MITOS Y LEYENDAS
DEWI,1000,Pandora Store,DEWI - SINGLES MITOS Y LEYENDAS
ARCAS DEL IMPERIO FOIL,1000,Pandora Store,ARCAS DEL IMPERIO FOIL - SINGLES MITOS Y LEYENDAS
LAS PARCAS,1000,Pandora Store,LAS PARCAS - SINGLES MITOS Y LEYENDAS
JACK O' THE GREEN,1000,Pandora Store,JACK O' THE GREEN - SINGLES MITOS Y LEYENDAS
LANZA DIVINA (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,LANZA DIVINA (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
HOMUNCULUS (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,HOMUNCULUS (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
LANZA DE AQUILES (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,LANZA DE AQUILES (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
FANTASMAS DEL DESIERTO (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,FANTASMAS DEL DESIERTO (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
OFRENDAS AL DRAGÓN (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,OFRENDAS AL DRAGÓN (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
ESPADA LARGA (TKPB25 - NOBLEZA Y PODER),1000,Pandora Store,ESPADA LARGA (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
FIESTA DE SAMHAIN (LBPB24),1000,Pandora Store,FIESTA DE SAMHAIN (LBPB24) - SINGLES MITOS Y LEYENDAS
BOOBRIE (LBPB24 - ARTE ALTERNATIVO),1000,Pandora Store,BOOBRIE (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
DRUIDA OSCURO (HD ANIVERSARIO - CORTESANA - REWORK),1000,Pandora Store,DRUIDA OSCURO (HD ANIVERSARIO - CORTESANA - REWORK) - SINGLES MITOS Y LEYENDAS
LIG-NA-PAISTE (LBPB24 - ARTE ALTERNATIVO),1000,Pandora Store,LIG-NA-PAISTE (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
AED FINN (CRPB3 - DEFENSOR),1000,Pandora Store,AED FINN (CRPB3 - DEFENSOR) - SINGLES MITOS Y LEYENDAS
EXTENSIÓN TIERRAS ALTAS (HD ANIVERSARIO - PROMOCIONAL),1000,Pandora Store,EXTENSIÓN TIERRAS ALTAS (HD ANIVERSARIO - PROMOCIONAL) - SINGLES MITOS Y LEYENDAS
ASH (LBPB24 - ARTE ALTERNATIVO),1000,Pandora Store,ASH (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
AMON-RA (LBPB24),1000,Pandora Store,AMON-RA (LBPB24) - SINGLES MITOS Y LEYENDAS
NUT (LBPB24 - ARTE ALTERNATIVO),1000,Pandora Store,NUT (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
NEFERITE I (LBPB24 - ARTE ALTERNATIVO),1000,Pandora Store,NEFERITE I (LBPB24 - ARTE ALTERNATIVO)- SINGLES MITOS Y LEYENDAS
