nombre,precio,tienda,nombre_original
KILGHARRAH (LBPB24 - FOIL LLUVIA),6990,Pandora Store,KILGHARRAH (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
LA TRAICIÓN DE MACALPIN (SECRETA PROMO),6990,Pandora Store,LA TRAICIÓN DE MACALPIN (SECRETA PROMO) - SINGLES MITOS Y LEYENDAS
TANUTAMANI (CLESP) COLECCIÓN LEGENDARIA SECRETA,6990,Pandora Store,TANUTAMANI (CLESP) COLECCIÓN LEGENDARIA SECRETA
LUZ DE PROMETEO (LBPB24 - DORADA),6000,Pandora Store,LUZ DE PROMETEO (LBPB24 - DORADA) - SINGLES MITOS Y LEYENDAS
TORO APIS BUY A BOX,6000,Pandora Store,TORO APIS BUY A BOX - SINGLES MITOS Y LEYENDAS
LA VISION (TKPB25 - JUICIO Y VISIÓN),6000,Pandora Store,LA VISION (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
ATAQUE FULMINANTE (TKPB25 - NOBLEZA Y PODER),6000,Pandora Store,ATAQUE FULMINANTE (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
FOCEA (TKPB25 - NOBLEZA Y PODER),6000,Pandora Store,FOCEA (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
GAITAS (HD ANIVERSARIO - MR),6000,Pandora Store,GAITAS (HD ANIVERSARIO - MR)
GANIMEDES,5990,Pandora Store,GANIMEDES - SINGLES MITOS Y LEYENDAS
ESPADA LARGA UR,5990,Pandora Store,ESPADA LARGA UR - SINGLES MITOS Y LEYENDAS
SIR LAMORAK (LBPB24 - FOIL LLUVIA),5990,Pandora Store,SIR LAMORAK (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
TANUTAMANI LLUVIA,5990,Pandora Store,TANUTAMANI LLUVIA - SINGLES MITOS Y LEYENDAS
FORMA DE NIEBLA JO,5990,Pandora Store,FORMA DE NIEBLA JO - SINGLES MITOS Y LEYENDAS
ARBOL DE SANGRE (CLESP) COLECCIÓN LEGENDARIA SECRETA,5990,Pandora Store,ARBOL DE SANGRE (CLESP) COLECCIÓN LEGENDARIA SECRETA
BERSERK REWORK,5000,Pandora Store,BERSERK REWORK - SINGLES MITOS Y LEYENDAS
SALMON DEL SABER (TPKB25 - BUY A BOX),5000,Pandora Store,SALMON DEL SABER (TPKB25 - BUY A BOX) - SINGLES MITOS Y LEYENDAS
ARBOL DE SANGRE (TKPB25 - JUICIO Y VISIÓN),5000,Pandora Store,ARBOL DE SANGRE (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
TRONO DORADO (TKPB25 - NOBLEZA Y PODER),5000,Pandora Store,TRONO DORADO (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
DIADEMA FEERICA (TKPB25 - NOBLEZA Y PODER),5000,Pandora Store,DIADEMA FEERICA (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
ESPADA LARGA TOOLKIT,5000,Pandora Store,ESPADA LARGA TOOLKIT - SINGLES MITOS Y LEYENDAS
TUATHA DE DAANAN (LEYENDAS PB 3.0 - BUY A BOX),5000,Pandora Store,TUATHA DE DAANAN (LEYENDAS PB 3.0 - BUY A BOX) - SINGLES MITOS Y LEYENDAS
GAIA (LEYENDAS PB 3.0 - BUY A BOX),5000,Pandora Store,GAIA (LEYENDAS PB 3.0 - BUY A BOX) - SINGLES MITOS Y LEYENDAS
MARTILLO PESADO (HD ANIVERSARIO - MR),5000,Pandora Store,MARTILLO PESADO (HD ANIVERSARIO - MR)
JEROGLIFICOS,4990,Pandora Store,JEROGLIFICOS - SINGLES MITOS Y LEYENDAS
ESPADA LARGA,4990,Pandora Store,ESPADA LARGA - SINGLES MITOS Y LEYENDAS
GAITAS UR,4990,Pandora Store,GAITAS UR - SINGLES MITOS Y LEYENDAS
VOUIVRE UR,4990,Pandora Store,VOUIVRE UR - SINGLES MITOS Y LEYENDAS
AMOSIS I UR,4990,Pandora Store,AMOSIS I UR - SINGLES MITOS Y LEYENDAS
DRAGON DORADO UR,4990,Pandora Store,DRAGON DORADO UR - SINGLES MITOS Y LEYENDAS
